stock_id,date,stock_deal,stock_follow,stock_tweet
SH600109,2018-07-21,196.0,197283.0,2714.0
SZ000860,2018-07-21,195.0,117665.0,18416.0
SZ000807,2018-07-21,195.0,30023.0,6683.0
SH600884,2018-07-21,193.0,50761.0,10379.0
SZ002304,2018-07-21,190.0,87392.0,13104.0
SH600398,2018-07-21,190.0,44817.0,4956.0
SH601636,2018-07-21,190.0,,2975.0
SH600089,2018-07-21,189.0,161298.0,3635.0
SZ300377,2018-07-21,188.0,197266.0,5164.0
SH600600,2018-07-21,188.0,69407.0,11507.0
SH600422,2018-07-21,187.0,51835.0,3331.0
SZ000961,2018-07-21,184.0,38837.0,18137.0
SZ300208,2018-07-21,183.0,36984.0,
SZ002195,2018-07-21,183.0,37592.0,10367.0
SZ000933,2018-07-21,182.0,34122.0,7237.0
SZ000728,2018-07-21,182.0,135966.0,
SZ000768,2018-07-21,182.0,239250.0,2968.0
SH600161,2018-07-21,180.0,75741.0,13877.0
SH600588,2018-07-21,179.0,188088.0,17301.0
SZ002589,2018-07-21,177.0,,4722.0
SZ300498,2018-07-21,177.0,37904.0,6722.0
SZ000776,2018-07-21,176.0,182461.0,
SZ300216,2018-07-21,175.0,44380.0,4373.0
SH600993,2018-07-21,174.0,42139.0,3483.0
SH600183,2018-07-21,174.0,37669.0,9853.0
SZ000413,2018-07-21,174.0,100264.0,3077.0
SZ300452,2018-07-21,174.0,,
SZ000868,2018-07-21,172.0,26373.0,7591.0
SZ000069,2018-07-21,171.0,66366.0,3238.0
SZ000050,2018-07-21,170.0,89787.0,11228.0
SZ000732,2018-07-21,170.0,47926.0,16217.0
SZ300053,2018-07-21,170.0,83104.0,
SH600188,2018-07-21,169.0,53687.0,15977.0
SZ000799,2018-07-21,169.0,60975.0,13466.0
SZ000710,2018-07-21,169.0,30162.0,12558.0
SH600522,2018-07-21,169.0,62842.0,6430.0
SZ300078,2018-07-21,168.0,27791.0,3124.0
SZ002302,2018-07-21,167.0,40535.0,9743.0
SZ000568,2018-07-21,165.0,173028.0,38330.0
SH601628,2018-07-21,165.0,133809.0,23764.0
SH600699,2018-07-21,164.0,69672.0,23145.0
SZ002242,2018-07-21,164.0,78300.0,17067.0
SZ000917,2018-07-21,164.0,109174.0,8754.0
SH601919,2018-07-21,161.0,113505.0,5031.0
SZ300618,2018-07-21,160.0,31777.0,10599.0
SH600874,2018-07-21,160.0,25992.0,5948.0
SH601111,2018-07-21,160.0,61095.0,5110.0
SH600267,2018-07-21,159.0,196899.0,26038.0
SH603369,2018-07-21,159.0,23727.0,3965.0
SZ000831,2018-07-21,158.0,72904.0,12539.0
SZ000932,2018-07-21,158.0,55912.0,13671.0
SH600085,2018-07-21,158.0,70252.0,17120.0
SH601818,2018-07-21,158.0,297932.0,3488.0
SH600062,2018-07-21,157.0,35209.0,5235.0
SZ300433,2018-07-21,157.0,37057.0,4778.0
SZ300624,2018-07-21,156.0,,11702.0
SZ000039,2018-07-21,156.0,123566.0,15081.0
SZ002372,2018-07-21,156.0,39988.0,3980.0
SH600315,2018-07-21,155.0,125818.0,42069.0
SZ000636,2018-07-21,154.0,45896.0,10697.0
SZ000717,2018-07-21,154.0,61970.0,6246.0
SH600230,2018-07-21,154.0,24065.0,8262.0
SH600967,2018-07-21,154.0,,
SH600919,2018-07-21,153.0,28206.0,
SH601186,2018-07-21,153.0,143592.0,2883.0
SH601225,2018-07-21,153.0,45661.0,11819.0
SZ300124,2018-07-21,151.0,62354.0,13002.0
SZ000856,2018-07-21,151.0,26939.0,11995.0
SH600704,2018-07-21,150.0,67937.0,40038.0
SZ300666,2018-07-21,149.0,28004.0,5716.0
SZ002110,2018-07-21,149.0,29723.0,15433.0
SZ000735,2018-07-21,149.0,61935.0,17940.0
SH600271,2018-07-21,149.0,91558.0,7518.0
SZ002271,2018-07-21,149.0,54023.0,10613.0
SZ000996,2018-07-21,148.0,,2540.0
SH601375,2018-07-21,147.0,,
SZ002215,2018-07-21,147.0,30410.0,
SH600547,2018-07-21,147.0,112270.0,5086.0
SH600755,2018-07-21,147.0,111675.0,11200.0
SH601992,2018-07-21,147.0,43641.0,6061.0
SH601878,2018-07-21,147.0,,2412.0
SH600256,2018-07-21,146.0,100380.0,19171.0
SH603288,2018-07-21,146.0,87292.0,15430.0
SZ000977,2018-07-21,146.0,71466.0,16473.0
SZ002056,2018-07-21,146.0,26907.0,3025.0
SH603527,2018-07-21,145.0,,
SH600535,2018-07-21,145.0,82446.0,22128.0
SH600507,2018-07-21,145.0,42396.0,10646.0
SZ000513,2018-07-21,145.0,36267.0,6662.0
SH600584,2018-07-21,143.0,59368.0,14170.0
SH600566,2018-07-21,143.0,30420.0,7984.0
SH600348,2018-07-21,142.0,,5347.0
SZ000425,2018-07-21,142.0,91728.0,3195.0
SZ300003,2018-07-21,142.0,52480.0,10203.0
SZ002001,2018-07-21,141.0,38811.0,6966.0
SH601211,2018-07-21,141.0,60445.0,
SZ300595,2018-07-21,140.0,,4326.0
SZ002202,2018-07-21,140.0,109022.0,3664.0
SH600876,2018-07-21,139.0,40448.0,3514.0
SZ002038,2018-07-21,138.0,226851.0,39288.0
SH600760,2018-07-21,138.0,77456.0,6881.0
SZ000581,2018-07-21,138.0,64902.0,10779.0
SH601788,2018-07-21,138.0,172572.0,16188.0
SZ002407,2018-07-21,138.0,197909.0,4298.0
SZ300107,2018-07-21,138.0,,7840.0
